x,y,pen_down
491,99,True
493,98,True
485,103,True
498,95,True
482,105,True
465,122,True
449,138,True
447,147,True
464,143,True
466,142,True
461,144,True
461,141,True
461,143,True
455,143,True
458,142,True
452,147,True
468,139,True
485,139,True
493,138,True
477,138,True
474,137,True
490,137,True
482,136,True
471,138,True
487,138,True
488,139,True
472,139,True
470,140,True
487,140,True
503,145,True
519,161,True
517,160,True
516,160,True
514,158,True
519,165,True
509,149,True
509,148,True
509,147,True
509,147,True
508,147,True
513,153,True
509,151,True
495,142,True
498,142,True
500,142,True
494,140,True
511,152,True
521,168,True
527,185,True
522,174,True
525,178,True
526,179,True
526,176,True
523,170,True
522,171,True
521,165,True
524,175,True
533,192,True
541,197,True
531,185,True
544,199,True
538,195,True
532,190,True
531,187,True
543,201,True
533,194,True
532,191,True
528,185,True
541,201,True
550,201,True
560,202,True
577,201,True
587,196,True
582,200,True
586,196,True
576,200,True
574,200,True
571,201,True
577,202,True
593,193,True
610,186,True
597,191,True
601,188,True
603,187,True
603,189,True
589,193,True
590,193,True
592,194,True
594,193,True
611,184,True
627,181,True
617,182,True
618,183,True
628,181,True
611,183,True
611,182,True
609,184,True
616,181,True
632,179,True
648,169,True
645,169,True
638,175,True
642,174,True
643,171,True
642,171,True
626,178,True
629,177,True
633,178,True
625,180,True
642,170,True
658,168,True
674,164,True
691,174,True
704,190,True
693,177,True
689,174,True
701,188,True
700,187,True
690,176,True
688,173,True
697,181,True
704,187,True
690,171,True
699,182,True
683,170,True
693,175,True
706,192,True
713,208,True
712,203,True
706,196,True
711,202,True
712,209,True
709,196,True
710,196,True
711,198,True
705,189,True
714,205,True
715,222,True
718,238,True
718,222,True
717,224,True
714,218,True
718,223,True
718,230,True
716,214,True
717,212,True
715,209,True
716,217,True
720,233,True
723,250,True
721,245,True
721,245,True
725,253,True
721,237,True
724,243,True
722,242,True
720,234,True
719,230,True
725,247,True
734,263,True
735,280,True
735,292,True
734,276,True
733,272,True
729,260,True
732,265,True
734,272,True
735,280,True
735,264,True
729,255,True
730,257,True
734,263,True
726,250,True
736,266,True
737,282,True
740,299,True
751,315,True
767,326,True
780,339,True
785,353,True
781,345,True
779,341,True
781,345,True
784,345,True
782,339,True
781,339,True
771,330,True
774,332,True
771,328,True
771,327,True
755,314,True
751,313,True
737,298,True
739,302,True
739,300,True
749,312,True
747,309,True
755,317,True
762,320,True
764,323,True
766,325,True
772,331,True
770,325,True
757,320,True
753,317,True
743,301,True
738,284,True
738,278,True
739,294,True
738,291,True
738,297,True
737,281,True
736,272,True
736,288,True
744,304,True
761,321,True
777,337,True
787,353,True
791,370,True
791,364,True
788,361,True
791,365,True
789,363,True
789,355,True
789,358,True
787,348,True
792,363,True
795,379,True
796,393,True
793,379,True
795,385,True
796,388,True
794,371,True
794,375,True
793,369,True
795,380,True
798,396,True
801,412,True
801,401,True
799,402,True
798,400,True
801,410,True
799,394,True
800,394,True
798,391,True
797,395,True
803,411,True
804,428,True
806,430,True
804,422,True
806,425,True
804,427,True
804,410,True
804,414,True
803,414,True
802,411,True
807,427,True
810,443,True
812,450,True
808,443,True
811,452,True
809,439,True
811,441,True
812,445,True
808,428,True
808,442,True
815,458,True
820,449,True
818,458,True
816,457,True
819,459,True
815,460,True
813,453,True
822,457,True
822,441,True
822,424,True
823,408,True
823,411,True
825,409,True
824,413,True
823,429,True
823,446,True
823,454,True
823,446,True
823,429,True
823,417,True
822,419,True
822,436,True
822,452,True
821,454,True
820,437,True
820,421,True
820,434,True
821,442,True
821,426,True
827,410,True
833,401,True
842,417,True
840,410,True
839,408,True
842,408,True
835,399,True
832,397,True
840,405,True
836,402,True
832,400,True
829,401,True
827,404,True
828,400,True
826,405,True
838,405,True
845,421,True
849,435,True
846,427,True
846,425,True
847,429,True
846,417,True
845,417,True
844,416,True
845,422,True
851,438,True
854,455,True
854,471,True
851,487,True
853,486,True
852,488,True
851,484,True
853,467,True
853,451,True
852,450,True
851,441,True
853,454,True
853,470,True
853,483,True
853,485,True
854,468,True
854,452,True
852,436,True
852,437,True
851,431,True
852,441,True
856,458,True
856,474,True
856,468,True
856,451,True
855,463,True
855,479,True
849,496,True
847,512,True
844,499,True
844,495,True
845,509,True
846,506,True
845,502,True
844,507,True
843,504,True
849,491,True
844,492,True
845,492,True
849,508,True
848,506,True
842,508,True
848,498,True
838,482,True
836,480,True
836,482,True
834,478,True
823,484,True
823,500,True
825,516,True
825,533,True
824,521,True
823,514,True
822,509,True
824,514,True
825,526,True
824,509,True
824,493,True
825,477,True
826,478,True
824,480,True
824,497,True
825,501,True
823,499,True
823,482,True
831,476,True
834,476,True
839,485,True
840,483,True
824,476,True
821,493,True
821,495,True
821,493,True
822,484,True
822,500,True
826,516,True
827,533,True
827,549,True
829,565,True
829,582,True
827,598,True
827,606,True
828,589,True
828,573,True
828,556,True
827,547,True
827,563,True
828,546,True
827,542,True
828,553,True
828,570,True
828,586,True
828,574,True
829,591,True
828,589,True
828,595,True
827,600,True
829,584,True
829,568,True
829,551,True
829,535,True
828,533,True
829,538,True
827,530,True
